ID,Beer,Bitter,Sød,Citrus,Syrlig,Bær,Frugtig,Kraftig,Krydret,Røget,Tung,Rund,Vandet,Gæret,Skarp,Lakrids,Karamel,Chokolade,Tør,Gran,Eftersmag,Nøddet,Mild,Harmonisk,Aroma,Normal,Kaffe,Humle,Cider,Spiritus,Sprittet,Brændt,Rugbrød,Olie,Rengøringsmiddel,Syntetisk ,Sodavand,Malt,Kompleks,Tang,Blomst
ID_2290307_6_49__14_30_11,Aronia,3,4,3,4,4,5,5,2,3,3,3,3,4,4,1,1,1,3,1,5,2,3,2,4,2,1,4,5,2,2,3,2,1,2,5,4,3,3,3,3
ID_2290307_6_49__14_30_11,Angelina,4,2,1,2,2,2,3,3,4,2,2,2,2,3,1,1,1,3,0,2,0,2,2,4,3,1,3,1,2,3,3,1,0,1,2,1,4,2,2,1
ID_2290307_6_49__14_30_11,Wiener Walzer,3,2,2,2,1,2,2,3,3,1,3,3,3,3,0,0,0,3,1,4,2,2,3,3,2,0,4,0,2,2,2,3,0,2,1,0,4,3,1,2
ID_2290307_6_49__14_30_11,Alexander,4,3,1,3,6,2,3,4,5,4,2,2,3,3,3,3,2,2,2,5,2,2,3,4,2,4,4,2,3,3,5,3,2,3,2,0,3,3,1,1
ID_2290307_6_49__14_30_11,Brown Bella,4,2,0,2,0,2,4,2,3,4,2,2,3,4,2,1,1,4,1,3,3,2,2,3,2,2,4,0,3,3,3,3,1,3,2,0,3,2,1,2
ID_2290307_6_49__14_30_11,Amarillo,5,2,4,2,4,6,4,2,1,2,4,3,1,4,0,2,0,2,1,4,2,2,4,4,2,0,3,2,2,2,2,0,1,2,4,1,4,4,1,4
ID_2290307_6_49__14_30_11,Tuborg Nul,1,2,1,2,1,2,0,0,0,1,1,6,1,1,0,0,0,1,1,1,1,5,1,2,1,0,2,2,1,1,1,0,3,1,2,3,1,1,0,2
ID_2290307_6_49__14_30_11,Amigo,2,3,2,2,2,3,2,3,3,2,3,2,2,2,0,0,0,2,1,2,1,4,3,4,3,0,4,1,2,2,2,1,1,2,2,1,4,3,1,3
ID_2290307_6_49__14_30_11,Tuborg Classic,2,2,3,3,2,3,3,3,2,3,3,2,3,3,1,1,0,2,2,3,1,3,3,4,3,0,4,2,1,1,2,1,1,2,2,1,4,4,0,2
ID_2290307_6_49__14_30_11,Sebastian,2,3,4,2,2,4,3,2,2,2,3,2,3,2,0,0,0,1,2,3,1,3,4,5,3,0,5,1,2,2,2,2,2,0,2,1,4,4,0,2
ID_2432242_9_32__15_30_11,Tuborg Classic,4,1,3,2,0,2,1,0,2,0,2,3,4,2,0,1,0,2,0,3,1,4,2,1,3,0,4,3,1,0,0,3,0,0,0,2,2,1,0,0
ID_2432242_9_32__15_30_11,Tuborg Nul,4,1,4,5,1,1,1,0,0,0,3,6,0,1,0,0,0,1,0,1,0,4,4,1,2,0,0,3,0,0,0,0,1,3,0,3,1,0,0,2
ID_2432242_9_32__15_30_11,Sebastian,4,1,4,4,2,3,4,2,0,2,2,0,2,4,0,1,0,1,4,1,2,2,2,4,3,1,3,0,3,2,0,0,0,2,0,0,1,3,0,3
ID_2432242_9_32__15_30_11,Brown Bella,2,1,0,0,0,2,5,4,3,4,2,1,3,4,1,2,2,0,1,4,3,1,1,2,0,4,3,0,0,1,4,3,1,2,0,0,2,4,0,0
